title,apr
1/18/2023,14.1651
1/19/2023,14.1463
1/20/2023,14.1764
1/21/2023,14.1836
1/22/2023,14.2007
1/23/2023,14.2077
1/24/2023,14.2138
1/25/2023,14.2152
1/26/2023,14.218
1/27/2023,14.2611
1/28/2023,14.2679
1/29/2023,14.2948
1/30/2023,14.2958
1/31/2023,14.2535
2/1/2023,14.27
2/2/2023,14.3843
2/3/2023,14.4317
2/4/2023,14.4366
2/5/2023,14.4855
2/6/2023,14.5142
2/7/2023,14.4962
2/8/2023,14.4976
2/9/2023,14.4973
2/10/2023,14.5426
2/11/2023,14.4959
2/12/2023,14.5656
2/13/2023,14.5654
2/14/2023,14.5429
2/15/2023,14.5749
2/16/2023,14.5699
2/17/2023,14.5782
2/18/2023,14.561
2/19/2023,14.5391
2/20/2023,14.5738
2/21/2023,14.6043
2/22/2023,14.5859
2/23/2023,14.4331
2/24/2023,14.4334
2/25/2023,14.4125
2/26/2023,14.4384
2/27/2023,14.4159
2/28/2023,14.4222
3/1/2023,14.4507
3/2/2023,14.4429
3/3/2023,14.4432
3/4/2023,14.4447
3/5/2023,14.3871
3/6/2023,14.4148
3/7/2023,14.3967
3/8/2023,14.4219
3/9/2023,14.3968
3/10/2023,14.375
3/11/2023,14.3759
3/12/2023,14.3777
3/13/2023,14.4182
3/14/2023,14.4468
3/15/2023,14.4643
3/16/2023,14.4621
3/17/2023,14.5141
3/18/2023,14.4004
3/19/2023,14.4033
3/20/2023,14.4099
3/21/2023,14.4148
3/22/2023,14.367
3/23/2023,14.3833
3/24/2023,14.377
3/25/2023,14.376
3/26/2023,14.3783
3/27/2023,14.4685
3/28/2023,14.4699
3/29/2023,14.4736
3/30/2023,14.4823
3/31/2023,14.4869
4/1/2023,14.4916
4/2/2023,14.5096
4/4/2023,14.5195
4/5/2023,14.5171
4/6/2023,14.5241
4/7/2023,14.5313
4/8/2023,14.5346
4/9/2023,14.5404
4/10/2023,14.5458
4/11/2023,14.5605
4/12/2023,14.5647
4/13/2023,14.8269
4/14/2023,14.8445
4/15/2023,14.853
4/16/2023,14.8591
4/17/2023,14.805
4/18/2023,14.8083
4/19/2023,14.8136
4/20/2023,15.1825
4/21/2023,14.9206
4/22/2023,14.9209
4/23/2023,14.8457
4/24/2023,14.8513
4/25/2023,14.8572
4/26/2023,14.9035
4/27/2023,14.9079
4/28/2023,14.9088
4/29/2023,14.9113
4/30/2023,14.9155
5/1/2023,14.9321
5/2/2023,14.9295
5/3/2023,14.9311
5/4/2023,14.9443
5/5/2023,14.9487
5/6/2023,14.95
5/7/2023,14.9476
5/8/2023,14.949
5/9/2023,14.9612
5/10/2023,15.0173
5/11/2023,15.0136
5/12/2023,15.0015
5/13/2023,15.0062
5/14/2023,15.0102
5/15/2023,14.9983
5/16/2023,15.6268
5/17/2023,15.6284
5/18/2023,15.6312
5/19/2023,15.6303
5/20/2023,15.63
5/21/2023,15.6312
5/22/2023,15.6356
5/23/2023,15.6621
5/24/2023,15.6727
5/25/2023,15.6755
5/26/2023,15.6743
5/27/2023,15.6769
5/28/2023,15.6803
5/29/2023,15.7896
5/30/2023,15.7881
5/31/2023,15.7553
6/1/2023,16.1064
